Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
3 38.52 30 -58.99 5241.08
1 14.87 30 -77.93 5249.22
2 37.91 30 -127.38 5249.27
3 19.51 30 -36.58 5253.01
1 31.09 30 65.82 5257.19
2 37.91 30 -27.34 5261.54
3 25.32 30 53.49 5261.64
1 31.09 30 2.18 5269.81
2 38.94 30 70.02 5269.9
3 38.95 30 24.8 5269.97
1 31.09 30 -92.87 5277.76
2 38.94 30 -35.5 5281.75
3 24.89 30 -38.5 5281.79
1 31.09 30 51.81 5290.24
2 38.94 30 -15.39 5290.3
3 21.32 30 26.8 5290.36
1 31.09 30 44.35 5298.3
2 38.94 30 76.67 5302.36
3 35.3 30 44.96 5302.46
1 31.09 30 -100.69 5306.47
2 43.69 30 76.67 5310.59
3 30.99 30 -19.85 5310.65
1 31.09 30 0.84 5319.01
2 43.69 30 -59.25 5319.1
3 20.63 30 1.73 5322.65
1 26.11 30 60.21 5326.78
2 43.69 30 53.68 5331.08
3 27.93 30 48.72 5331.15
1 26.11 30 22.27 5339.47
2 43.69 30 28.23 5339.56
3 34.14 30 8.29 5339.62
1 26.11 30 41.37 5347.38
2 43.69 30 28.23 5351.44
3 24.48 30 -17.8 5351.48
1 26.11 30 41.37 5359.63
2 43.69 30 28.23 5359.67
3 18.33 30 -17.8 5359.7
1 26.11 30 41.37 5367.89
2 43.69 30 28.23 5367.94
3 15.35 30 -17.8 5372.02
1 26.11 30 41.37 5380.26
2 43.69 30 28.23 5380.33
3 13.64 30 -17.8 5384.1
1 26.11 30 41.37 5388.44
2 43.69 30 28.23 5388.55
3 12.84 30 -17.8 5392.48
1 26.11 30 41.37 5400.81
2 43.69 30 28.23 5400.89
3 22.29 30 83.69 5400.95
1 26.11 30 -65.44 5409.14
2 43.69 30 -16.22 5409.24
3 45.71 30 37.06 5412.74
1 26.11 30 20.38 5416.96
2 43.69 30 14.73 5421.2
3 34.53 30 -75.23 5421.27
1 31.65 30 33.59 5429.44
2 43.69 30 29.02 5429.51
3 21.81 30 -19.32 5433.25
1 31.46 30 13.15 5437.61
2 43.69 30 17.98 5441.71
3 22.04 30 39.23 5441.83
1 31.46 30 14.04 5450.02
2 43.69 30 14.22 5450.12
3 33.61 30 38.49 5453.8
1 31.46 30 41.07 5457.99
2 43.69 30 30.6 5462.02
3 31.83 30 -14.27 5462.06
1 31.46 30 16.09 5470.37
2 43.69 30 12 5470.44
3 19.17 30 -5.34 5470.52
1 31.46 30 0.55 5478.5
2 43.69 30 11.28 5478.57
3 21.08 30 52.93 5482.49
1 31.46 30 57.68 5486.7
2 43.69 30 48.63 5490.8
3 40.92 30 43.85 5490.92
1 31.46 30 -5.34 5499.23
2 43.69 30 14.82 5499.32
3 32.18 30 -50.41 5502.83
1 31.46 30 -4.28 5506.98
2 43.69 30 -23.45 5511.34
3 17.52 30 -6.71 5511.39
1 31.46 30 97.88 5519.59
2 43.69 30 62.07 5519.66
3 29.5 30 61.63 5519.77
1 31.46 30 9.85 5527.86
2 43.69 30 36.81 5527.96
3 35.11 30 2.01 5531.75
1 31.46 30 -109.69 5540.12
2 22.29 30 36.81 5540.21
3 18.76 30 -21.14 5543.99
1 30.75 30 54.09 5548.15
2 22.29 30 47.59 5552.01
3 28.22 30 55.61 5552.06
1 47.34 30 17.65 5560.42
2 22.29 30 53.43 5560.49
3 36.06 30 8.61 5560.54
1 47.34 30 -65.71 5568.85
2 22.29 30 -63.92 5568.94
3 22.04 30 -25.71 5572.59
1 24.92 30 49.87 5576.84
2 22.29 30 -12.25 5581.02
3 22.42 30 39.4 5581.13
1 24.92 30 41.65 5589.35
2 30.66 30 -12.25 5589.44
3 38.52 30 37.88 5592.95
1 24.92 30 -83.83 5597.2
2 30.66 30 11.34 5601.38
3 29.97 30 -37.67 5601.45
1 24.92 30 -5.01 5609.54
2 21.33 30 11.34 5609.62
3 17.03 30 2.43 5609.66
1 24.92 30 98.44 5617.89
2 21.33 30 52.62 5618
3 30.99 30 65.08 5621.73
1 24.92 30 -36.6 5630.03
2 21.33 30 53.64 5630.08
3 35.3 30 0.61 5630.12
1 24.92 30 -76.21 5638.16
2 21.33 30 -83.4 5642.19
3 18.65 30 -21.11 5642.23
1 24.92 30 77.47 5646.22
2 21.33 30 3.42 5650.45
3 26.15 30 57.16 5650.49
1 55.83 30 14.9 5658.71
2 21.33 30 77.5 5658.76
3 39.57 30 20.01 5662.59
1 26.27 30 -108.55 5666.83
2 21.33 30 -22.62 5671.07
3 26.45 30 -42.22 5671.16
1 20.9 30 34.28 5679.44
2 21.33 30 -22.62 5679.61
3 21.2 30 18.39 5679.72
1 47.34 30 61.42 5687.36
2 21.33 30 81.77 5687.4
3 32.87 30 44.89 5691.44
1 47.34 30 -66 5699.69
2 21.33 30 76.23 5699.73
3 33.43 30 -8.31 5699.8
1 18.34 30 -66 5707.96
2 21.33 30 76.23 5711.98
3 16.44 30 -11.08 5712.11
1 18.34 30 74 5720.23
2 21.33 30 22.33 5720.31
3 23.43 30 68.84 5720.38
1 18.34 30 36.29 5728.32
2 21.33 30 62.77 5728.39
3 46.7 30 34.41 5732.23
1 18.34 30 -119.52 5736.42
2 21.33 30 -50.23 5740.81
3 32.69 30 -77.24 5740.93
1 23.9 30 17.62 5748.88
2 21.33 30 -28.93 5748.95
3 20.28 30 -7.17 5752.7
1 37.31 30 17.62 5757.04
2 21.33 30 68.11 5761.18
3 26.86 30 49.87 5761.26
1 37.31 30 -15.99 5769.47
2 21.33 30 10.15 5769.59
3 33.99 30 17.26 5769.79
1 37.31 30 18.07 5777.41
2 21.33 30 -36.46 5777.46
3 24.34 30 -13.4 5781.56
1 30.75 30 18.07 5789.94
2 21.33 30 38.17 5790.04
3 24.23 30 29.86 5790.11
1 30.75 30 16.97 5797.94
2 21.33 30 27.15 5802.04
3 29.97 30 30.66 5802.1
1 21.28 30 3.85 5806.14
2 21.33 30 -6.74 5810.39
3 29.01 30 4.45 5810.49
1 21.28 30 59.41 5818.51
2 21.33 30 32.12 5818.58
3 24.34 30 6.88 5822.29
1 46.24 30 26.96 5826.47
2 21.33 30 32.12 5830.65
3 27.32 30 30.4 5830.68
1 46.24 30 -60.52 5839.1
2 21.33 30 -35.04 5839.2
3 26.74 30 15.7 5843.01
1 46.24 30 35.14 5847.07
2 21.33 30 -25.42 5851.16
3 26.01 30 18.69 5851.22
1 46.24 30 53.8 5859.64
2 21.33 30 63.55 5859.79
3 31.13 30 22.54 5859.87
1 31.84 30 -50.96 5867.57
2 21.33 30 15.34 5871.56
3 24.09 30 2.01 5871.6
1 31.84 30 11.59 5879.91
2 21.33 30 -33.89 5879.98
3 21.32 30 32.28 5880.03
1 31.84 30 53.77 5888.2
2 21.33 30 59.68 5888.28
3 35.5 30 46.47 5892.13
1 31.84 30 -12.27 5900.53
